Age,Female,Male
5,0.7220,0.6062
6,0.7513,0.6602
7,0.7792,0.7102
8,0.8057,0.7562
9,0.8308,0.7982
10,0.8545,0.8362
11,0.8768,0.8702
12,0.8977,0.9002
13,0.9172,0.9262
14,0.9353,0.9482
15,0.9520,0.9662
16,0.9680,0.9802
17,0.9840,0.9922
18,0.9960,0.9996
19,1.0000,1.0000
20,1.0000,1.0000
21,1.0000,1.0000
22,1.0000,1.0000
23,1.0000,1.0000
24,1.0000,1.0000
25,1.0000,1.0000
26,1.0000,1.0000
27,1.0000,1.0000
28,1.0000,1.0000
29,1.0000,0.9999
30,1.0000,0.9992
31,0.9998,0.9976
32,0.9990,0.9953
33,0.9977,0.9920
34,0.9959,0.9880
35,0.9935,0.9832
36,0.9906,0.9775
37,0.9871,0.9710
38,0.9831,0.9641
39,0.9785,0.9572
40,0.9734,0.9503
41,0.9678,0.9434
42,0.9616,0.9365
43,0.9549,0.9296
44,0.9476,0.9227
45,0.9398,0.9158
46,0.9314,0.9089
47,0.9225,0.9020
48,0.9131,0.8951
49,0.9034,0.8882
50,0.8937,0.8813
51,0.8840,0.8744
52,0.8743,0.8675
53,0.8645,0.8606
54,0.8548,0.8537
55,0.8451,0.8468
56,0.8354,0.8399
57,0.8257,0.8330
58,0.8160,0.8261
59,0.8063,0.8192
60,0.7966,0.8123
61,0.7869,0.8054
62,0.7772,0.7985
63,0.7674,0.7916
64,0.7577,0.7847
65,0.7480,0.7778
66,0.7383,0.7709
67,0.7286,0.7640
68,0.7189,0.7568
69,0.7092,0.7490
70,0.6995,0.7406
71,0.6898,0.7315
72,0.6801,0.7219
73,0.6703,0.7116
74,0.6606,0.7008
75,0.6509,0.6893
76,0.6412,0.6772
77,0.6315,0.6645
78,0.6218,0.6512
79,0.6120,0.6373
80,0.6013,0.6228
81,0.5897,0.6076
82,0.5772,0.5919
83,0.5637,0.5755
84,0.5493,0.5586
85,0.5340,0.5410
86,0.5177,0.5228
87,0.5004,0.5040
88,0.4823,0.4846
89,0.4632,0.4646
90,0.4431,0.4440
91,0.4221,0.4227
92,0.4002,0.4009
93,0.3773,0.3784
94,0.3535,0.3554
95,0.3288,0.3317
96,0.3031,0.3074
97,0.2764,0.2825
98,0.2489,0.2570
99,0.2204,0.2309
100,0.1909,0.2042
